_id,Yıl,Birim Adı,Oğlan Çocuk,Oğlan 0-6,Oğlan 6-12,Oğlan 12+,Psikolojik Danışmanlık Alan Oğlan Çocuk Sayısı,Kız Çocuk,Kız 0-6,Kız 6-12,Kız 12+,Psikolojik Danışmanlık Alan Kız Çocuk Sayısı,Okul Öncesi,İlkokul,Ortaokul,Lise,Toplam Çocuk,Kadın,18-32,33-45,45+,Yetişkin Toplam
1,2013,ÇİĞLİ,28,0,25,3,0,22,0,21,1,0,0,29,17,4,50,0,0,0,0,0
2,2014,ÇİĞLİ,38,0,38,0,0,27,0,26,1,0,0,56,9,0,65,0,0,0,0,0
3,2015,ÇİĞLİ,44,0,39,5,0,46,0,27,19,0,0,36,49,5,90,0,0,0,0,0
4,2015,UZUNDERE,46,0,45,1,6,34,0,34,0,4,0,32,47,1,80,0,0,0,0,0
5,2016,ÇİĞLİ,70,0,63,7,0,73,0,67,6,0,0,90,51,2,143,0,0,0,0,0
6,2016,UZUNDERE,123,0,100,23,14,122,,89,33,8,0,116,126,1,245,0,0,0,0,0
7,2016,BUCA,146,41,100,5,20,182,42,135,5,50,59,162,108,0,329,0,0,0,0,0
8,2017,ÇİĞLİ,101,1,81,19,0,93,0,85,8,0,0,111,80,3,194,2,0,2,0,2
9,2017,UZUNDERE,152,0,124,128,18,166,1,121,44,10,0,153,155,6,314,0,0,0,0,0
10,2017,BUCA,234,41,175,18,92,315,57,242,16,188,85,325,129,7,546,104,21,68,15,104
11,2017,YENİŞEHİR,207,45,115,47,0,187,40,110,37,0,85,192,117,0,394,448,0,0,0,448
12,2018,ÇİĞLİ,95,0,77,18,10,104,0,84,20,11,0,87,110,2,199,0,0,0,0,0
13,2018,UZUNDERE,201,10,166,25,24,252,14,200,38,12,22,302,127,2,453,60,13,38,11,62
14,2018,BUCA,304,50,229,25,45,380,68,280,32,90,105,354,228,1,688,150,29,106,15,150
15,2018,YENİŞEHİR,233,55,140,38,7,223,50,151,22,14,105,220,131,0,456,428,0,0,0,428
16,2018,KARŞIYAKA,114,0,88,26,14,121,0,93,28,10,0,151,81,4,236,27,0,14,13,27
17,2019,ÇİĞLİ,161,0,138,23,3,193,0,159,34,4,0,201,152,1,354,40,8,25,7,40
18,2019,UZUNDERE,290,26,220,44,26,338,36,261,41,14,61,397,170,0,628,94,27,48,21,96
19,2019,BUCA,352,61,262,29,100,420,90,295,35,143,123,328,309,12,772,96,11,67,18,96
20,2019,YENİŞEHİR,175,49,99,27,16,170,44,101,25,29,93,161,91,0,345,62,0,0,0,62
21,2019,KARŞIYAKA,126,0,116,10,14,141,0,136,5,21,0,178,89,6,273,27,1,9,17,27
22,2019,TOROS,94,1,82,11,0,110,1,100,9,0,0,120,84,0,204,0,0,0,0,0
23,2019,GÜZELBAHÇE,49,0,32,17,9,57,0,36,21,5,0,56,47,3,106,36,16,20,0,36
24,2020,ÇİĞLİ,109,0,87,22,3,126,0,95,31,2,0,122,113,0,235,16,1,11,4,16
25,2020,UZUNDERE,129,9,116,4,18,158,15,137,6,12,19,224,44,0,287,4,0,2,2,4
26,2020,BUCA,98,4,81,13,10,107,7,90,10,25,9,132,64,0,205,0,0,0,0,0
27,2020,YENİŞEHİR,83,17,53,13,7,79,15,58,6,3,33,77,52,0,162,2,1,1,0,2
28,2020,KARŞIYAKA,17,0,15,2,9,26,0,23,3,12,0,35,5,3,43,8,0,8,0,8
29,2020,TOROS,35,0,32,3,1,45,0,40,5,1,0,55,25,0,80,0,0,0,0,0
30,2020,GÜZELBAHÇE,28,0,20,8,3,37,0,26,11,4,0,42,20,3,65,8,3,5,0,8
